現場,ゲンバ
向こう,ムコウ
空間,クウカン
手段,シュダン
雨,アメ
バス,バス
現象,ゲンショウ
雑誌,ザッシ
となり,トナリ
たばこ,タバコ
過程,カテイ
地球,チキュウ
うそ,ウソ
戦,イクサ
橋,ハシ
両親,リョウシン
像,ゾウ
天,テン
裏,ウラ
福祉,フクシ
費用,ヒヨウ
周囲,シュウイ
森,モリ
分野,ブンヤ
髪,カミ
内部,ナイブ
伝統,デントウ
組合,クミアイ
案,アン
府,フ
課題,カダイ
芸術,ゲイジュツ
センター,センター
年度,ネンド
番号,バンゴウ
革命,カクメイ
医者,イシャ
だんな,ダンナ
犯罪,ハンザイ
穴,アナ
法人,ホウジン
人気,ニンキ
答え,コタエ
権力,ケンリョク
材料,ザイリョウ
所得,ショトク
床,ユカ
心理,シンリ
大臣,ダイジン
財産,ザイサン
服,フク
節,フシ
脳,ノウ
黒,クロ
姿勢,シセイ
記事,キジ
債権,サイケン
戦略,センリャク
幕府,バクフ
兵,ヘイ
椅子,イス
郡,グン
旧,キュウ
ベッド,ベッド
疑問,ギモン
空気,クウキ
最終,サイシュウ
仕様,シヨウ
庭,ニワ
弟,オトウト
インターネット,インターネット
要素,ヨウソ
注,チュウ
土,ツチ
物質,ブッシツ
門,モン
箱,ハコ
積極,セッキョク
州,シュウ
犯人,ハンニン
版,ハン
ボール,ボール
単位,タンイ
ただ,タダ
債務,サイム
概念,ガイネン
症状,ショウジョウ
テーブル,テーブル
中学,チュウガク
食,ショク
正面,ショウメン
背,セ
文書,ブンショ
赤,アカ
青年,セイネン
神社,ジンジャ
高齢,コウレイ
層,ソウ
番組,バングミ
時点,ジテン
鳥,トリ
爺,ジイ
美術,ビジュツ
機械,キカイ
画面,ガメン
カ所,カショ
民主,ミンシュ
チーム,チーム
生物,セイブツ
入り,イリ
少女,ショウジョ
視線,シセン
条約,ジョウヤク
群,グン
肉,ニク
証拠,ショウコ
雰囲気,フンイキ
草,クサ
鼻,ハナ
議員,ギイン
形式,ケイシキ
波,ナミ
ゲーム,ゲーム
格好,カッコウ
対,タイ
株,カブ
作家,サッカ
ネット,ネット
収入,シュウニュウ
男女,ダンジョ
電気,デンキ
財政,ザイセイ
痛み,イタミ
詩,シ
藩,ハン
政権,セイケン
植物,ショクブツ
意思,イシ
ワン,ワン
医学,イガク
メディア,メディア
兄弟,キョウダイ
図書,トショ
哲学,テツガク
記者,キシャ
首相,シュショウ
公共,コウキョウ
出身,シュッシン
一言,ヒトコト
世間,セケン
女子,ジョシ
イン,イン
背景,ハイケイ
周辺,シュウヘン
世代,セダイ
地下,チカ
ガラス,ガラス
刑事,ケイジ
舞台,ブタイ
マン,マン
鉄,テツ
都合,ツゴウ
危機,キキ
くせ,クセ
ガス,ガス
太陽,タイヨウ
夫人,フジン
相互,ソウゴ
プロ,プロ
オークション,オークション
タマゴ,タマゴ
星,ホシ
教会,キョウカイ
職業,ショクギョウ
宇宙,ウチュウ
おば,オバ
公園,コウエン
妹,イモウト
肌,ハダ
事態,ジタイ
屋敷,ヤシキ
野菜,ヤサイ
職,ショク
最,サイ
工業,コウギョウ
唇,クチビル
前提,ゼンテイ
資格,シカク
成果,セイカ
核,カク
玄関,ゲンカン
ビル,ビル
コンピューター,コンピューター
背中,セナカ
辺,ヘン
パン,パン
軍事,グンジ
底,ソコ
ビジネス,ビジネス
将軍,ショウグン
縁,エン
郵便,ユウビン
領域,リョウイキ
職員,ショクイン
礼,レイ
マンション,マンション
仮,カリ
世の中,ヨノナカ
骨,ホネ
教科,キョウカ
電子,デンシ
ご飯,ゴハン
座,ザ
コーヒー,コーヒー
クラス,クラス
理想,リソウ
ひざ,ヒザ
文明,ブンメイ
おかげ,オカゲ
話題,ワダイ
戦,タタカイ
ニュース,ニュース
熱,ネツ
クラブ,クラブ
人類,ジンルイ
初期,ショキ
板,イタ
農業,ノウギョウ
時計,トケイ
両手,リョウテ
遊び,アソビ
テーマ,テーマ
一種,イッシュ
当該,トウガイ
数字,スウジ
形態,ケイタイ
